[[1, 16], [0, 15], [8, 5], [8, 8], [7, 8], [7, 7], [6, 7], [0, 13], [1, 13], [1, 12], [0, 11], [0, 10], [2, 6], [5, 6], [5, 5], [4, 5], [4, 4], [0, 8], [1, 8], [0, 7], [0, 6], [1, 5], [3, 2], [3, 0], [2, 0], [1, 3], [0, 4], [0, 3], [0, 2], [0, 0], [2, 1], [1, 2], [1, 0], [1, 1], [0, 1]]
[[1, 16], [0, 15], [8, 5], [8, 8], [7, 8], [7, 7], [6, 7], [0, 13], [1, 13], [1, 12], [0, 11], [0, 10], [2, 6], [5, 6], [5, 5], [4, 5], [4, 4], [0, 8], [1, 8], [0, 7], [0, 6], [1, 5], [3, 2], [3, 0], [2, 0], [2, 1], [1, 1], [1, 2], [0, 2], [0, 3], [1, 3], [0, 1], [2, 2], [1, 0], [3, 1]]
[[1, 16], [0, 15], [8, 5], [8, 8], [7, 8], [7, 7], [6, 7], [0, 13], [1, 13], [1, 12], [0, 11], [0, 10], [2, 6], [5, 6], [5, 5], [4, 5], [4, 4], [0, 8], [1, 8], [0, 7], [0, 6], [1, 5], [1, 4], [0, 3], [0, 2], [1, 1], [1, 0], [0, 0], [0, 1], [1, 2], [1, 3], [0, 4], [0, 5], [1, 6], [1, 7]]
[[1, 16], [0, 15], [8, 5], [8, 8], [7, 8], [7, 7], [6, 7], [0, 13], [1, 13], [1, 12], [0, 11], [0, 10], [2, 6], [5, 6], [5, 5], [4, 5], [4, 4], [3, 4], [3, 3], [2, 3], [2, 2], [1, 2], [1, 1], [0, 1], [0, 0], [1, 0], [0, 2], [2, 1], [1, 3], [3, 2], [2, 4], [4, 3], [3, 5], [5, 4], [4, 6]]
[[1, 16], [0, 15], [8, 5], [8, 8], [7, 8], [7, 7], [6, 7], [0, 13], [1, 13], [1, 12], [0, 11], [0, 10], [1, 9], [1, 8], [0, 7], [0, 6], [1, 5], [1, 4], [0, 3], [0, 2], [1, 1], [1, 0], [0, 0], [0, 1], [1, 2], [1, 3], [0, 4], [0, 5], [1, 6], [1, 7], [0, 8], [0, 9], [1, 10], [1, 11], [0, 12]]
[[1, 16], [0, 15], [8, 5], [8, 8], [7, 8], [7, 7], [6, 7], [6, 6], [5, 6], [5, 5], [4, 5], [4, 4], [3, 4], [3, 3], [2, 3], [2, 2], [1, 2], [1, 1], [0, 1], [0, 0], [1, 0], [0, 2], [2, 1], [1, 3], [3, 2], [2, 4], [4, 3], [3, 5], [5, 4], [4, 6], [6, 5], [5, 7], [7, 6], [6, 8], [8, 7]]
[[1, 16], [0, 15], [0, 14], [1, 13], [1, 12], [0, 11], [0, 10], [1, 9], [1, 8], [0, 7], [0, 6], [1, 5], [1, 4], [0, 3], [0, 2], [1, 1], [1, 0], [0, 0], [0, 1], [1, 2], [1, 3], [0, 4], [0, 5], [1, 6], [1, 7], [0, 8], [0, 9], [1, 10], [1, 11], [0, 12], [0, 13], [1, 14], [1, 15], [0, 16], [0, 17]]
[[7, 7], [6, 7], [6, 6], [5, 6], [5, 5], [4, 5], [4, 4], [3, 4], [3, 3], [2, 3], [2, 2], [1, 2], [1, 1], [0, 1], [0, 0], [1, 0], [0, 2], [2, 1], [1, 3], [3, 2], [2, 4], [4, 3], [3, 5], [5, 4], [4, 6], [6, 5], [5, 7], [7, 6], [6, 8], [7, 8], [7, 5], [1, 14], [1, 15], [0, 16], [0, 17]]
[[0, 11], [0, 10], [1, 9], [1, 8], [0, 7], [0, 6], [1, 5], [1, 4], [0, 3], [0, 2], [1, 1], [1, 0], [0, 0], [0, 1], [1, 2], [1, 3], [0, 4], [0, 5], [1, 6], [1, 7], [0, 8], [0, 9], [1, 10], [1, 11], [0, 12], [0, 13], [5, 7], [7, 6], [6, 8], [7, 8], [7, 5], [1, 14], [1, 15], [0, 16], [0, 17]]
[[4, 5], [4, 4], [3, 4], [3, 3], [2, 3], [2, 2], [1, 2], [1, 1], [0, 1], [0, 0], [1, 0], [0, 2], [2, 1], [1, 3], [3, 2], [2, 4], [4, 3], [3, 5], [5, 4], [4, 6], [2, 5], [0, 9], [1, 10], [1, 11], [0, 12], [0, 13], [5, 7], [7, 6], [6, 8], [7, 8], [7, 5], [1, 14], [1, 15], [0, 16], [0, 17]]
[[0, 6], [1, 5], [1, 4], [0, 3], [0, 2], [1, 1], [1, 0], [0, 0], [0, 1], [1, 2], [1, 3], [0, 4], [0, 5], [1, 6], [1, 7], [0, 7], [0, 9], [3, 5], [0, 10], [0, 8], [1, 8], [2, 6], [2, 5], [1, 11], [0, 12], [0, 13], [5, 7], [7, 6], [6, 8], [7, 8], [7, 5], [1, 14], [1, 15], [0, 16], [0, 17]]
[[2, 1], [1, 1], [1, 2], [0, 2], [0, 3], [1, 3], [0, 1], [2, 2], [1, 0], [2, 0], [2, 3], [0, 6], [0, 4], [1, 6], [1, 7], [0, 8], [0, 9], [3, 5], [0, 10], [1, 8], [1, 9], [2, 6], [0, 5], [0, 7], [1, 4], [0, 0], [3, 0], [2, 4], [6, 8], [7, 8], [7, 5], [1, 14], [1, 15], [0, 16], [0, 17]]
[[1, 1], [0, 2], [0, 1], [0, 0], [1, 2], [1, 0], [0, 7], [0, 5], [3, 0], [3, 1], [2, 3], [1, 5], [1, 4], [1, 6], [1, 7], [0, 9], [0, 10], [3, 5], [0, 11], [1, 8], [1, 9], [2, 6], [2, 5], [2, 7], [2, 4], [4, 0], [3, 2], [0, 6], [0, 8], [2, 1], [1, 3], [2, 0], [0, 3], [0, 4], [2, 2]]
